499,Други кредитори,Пасивна,,Кредитори&nbsp;(104),,
5,СМЕТКИ ЗА ФИНАНСОВИ СРЕДСТВА,,,,,
501,Каси в лева,Активна,,Локации&nbsp;(2),,
502,Каси във валута,Активна,,Локации&nbsp;(2),Валути&nbsp;(1),
503,Разплащателни сметки,Активна,,,,
5031,Разплащателни сметки в лева,Активна,,Банкови сметки&nbsp;(503),,
5032,Разплащателни сметки във валута,Активна,,Банкови сметки&nbsp;(503),Валути&nbsp;(1),
5033,Разплащателни сметки ОП Конкурентноспособност,Активна,,Банкови сметки&nbsp;(503),Валути&nbsp;(1),
6,СМЕТКИ ЗА РАЗХОДИ,,,,,
60,Разходи по икономически елементи,,,,,
601,Разходи за материали,Активна,,вътр. Документ за ПОКУПКИ&nbsp;(111),,
602,Разходи за външни услуги,Активна,,вътр. Документ за ПОКУПКИ&nbsp;(111),,
603,Разходи за амортизация,Активна,,Дълготрайни активи - всички&nbsp;(219),,
604,Разходи за заплати (възнаграждения),Активна,,Трудови договори (от Персонал)&nbsp;(120),,
605,Разходи за осигуровки,Активна,,Трудови договори (от Персонал)&nbsp;(120),,
606,"Разходи за данъци, такси и други подобни плащания",Активна,,,,
607,Разходи за провизии,Активна,,,,
608,Разходи от последващи оценки на активи,Активна,,,,
609,Други разходи,Активна,,,,
61,Разходи за Дейността,,,,,
611,Разходи за основна дейност,Активна,,,,
612,Разходи за спомагателна дейност,Активна,,,,
613,Разходи за придобиване на дълготрайни активи,Активна,,Дълготрайни активи - всички&nbsp;(219),,
614,Административни разходи,Активна,,,,
615,Разходи за продажби,Активна,,,,
618,Разходи по програми със средства от европейски фондове,Активна,,,,
62,Финансови разходи,,,,,
621,Разходи за лихви,Активна,,,,
624,Разходи по валутни операции,Активна,,,,
625,Разходи от последващи оценки на финансови активи и инструменти,Активна,,,,
629,Други финансови разходи,Активна,,,,
65,Разходи за Бъдещи периоди,,,,,
651,Нефинансови разходи за бъдещи периоди,Активна,,,,
652,Финансови разходи за бъдещи периоди,Активна,,,,
69,Извънредни Разходи,,,,,
691,Отписани вземания,Активна,,,,
692,Разходи за глоби и неустойки,Активна,,,,
699,Други извънредни разходи,Активна,,,,
7,СМЕТКИ ЗА ПРИХОДИ,,,,,
70,Приходи от Продажби,,,,,
701,Приходи от продажби на продукти,Пасивна,,вътр. Документ за ПРОДАЖБИ&nbsp;(110),,
702,Приходи от продажби на стоки,Пасивна,,вътр. Документ за ПРОДАЖБИ&nbsp;(110),,
703,Приходи от продажби на услуги,Пасивна,,вътр. Документ за ПРОДАЖБИ&nbsp;(110),,
704,Приходи от наеми,Пасивна,,вътр. Документ за ПРОДАЖБИ&nbsp;(110),,
705,Приходи от продажби на дълготрайни активи,Пасивна,,Дълготрайни активи - всички&nbsp;(219),,
706,Приходи от продажба на суровини/материали,Пасивна,,Суровини и материали&nbsp;(302),,
707,Приходи от последваща оценка на активи,Пасивна,,,,
708,Приходи от финансирания,Пасивна,,Договори за финансирания&nbsp;(155),,
709,Други приходи от дейността,Пасивна,,,,
72,Финансови приходи,,,,,
721,Приходи от лихви,Пасивна,,,,
722,Приходи от съучастия,Пасивна,,,,
723,Приходи от операции с финансови активи и инструменти,Пасивна,,,,
724,Приходи от валутни операции,Пасивна,,,,
725,Приходи от последващи оценки на финансови активи и инструменти,Пасивна,,,,
729,Други финансови приходи,Пасивна,,,,
75,Приходи за Бъдещи периоди и Финансирания,,,,,
751,Нефинансови приходи за бъдещи периоди,Пасивна,,,,
752,Финансови приходи за бъдещи периоди,Пасивна,,,,
753,Финансиране за дълготрайни активи,Пасивна,,Договори за финансирания&nbsp;(155),,
754,Финансиране на текущата дейност,Пасивна,,Договори за финансирания&nbsp;(155),,
9,ЗАДБАЛАНСОВИ СМЕТКИ ЗА УСЛОВНИ АКТИВИ И ПАСИВИ,,,,,
91,"Чужди Материални, Нематериални и Финансови Активи на Съхранение",,,,,
911,Наети чужди активи,Пасивна,,,,
912,"Чужди материални активи, получени по консигнационен договор",Пасивна,,,,
913,"Други материални и нематериални активи, приети на съхранение",Пасивна,,,,
914,"Финансови активи или парични средства, приети на за съхранение",Пасивна,,,,
98,Други Условни активи,,,,,
981,"Чужди материални и нематериални активи, получени като обезпечение",Активна,,,,
982,"Чужди финансови активи, получени като обезпечение",Активна,,,,
983,"Полици или записи на заповед, получени като обезпечение",Активна,,,,
984,Други Условни активи,Активна,,,,
989,Кореспондираща сметка за условни активи,Активна,,,,
99,Други Условни пасиви,,,,,
991,"Собствени материални и нематериални активи, предоставени като обезпечение",Пасивна,,,,
992,"Собствени финансови активи, предоставени като обезпечение",Пасивна,,,,
993,"Полици или записи на заповед, предоставени като обезпечение",Пасивна,,,,
994,Други условни пасиви,Пасивна,,,,
999,Кореспондираща сметка за условни пасиви,Пасивна,,,,
