A,"СЕЛСКО ГОРСКО И РИБНО СТОПАНСТВО"
14.14,"Производство на долно облекло"
14.19,"Производство на друго облекло и допълнения за облекло"
14.2,"Производство на облекло и изделия от кожухарски кожи"
14.20,"Производство на облекло и изделия от кожухарски кожи"
14.3,"Производство на други трикотажни изделия"
14.31,"Производство на чорапи и чорапогащи"
14.39,"Производство на класически машинно или ръчно плетени пуловери жилетки и други подобни изделия"
15,"Обработка на кожи производство на обувки и други изделия от обработени кожи без косъм"
15.1,"Обработка на кожи производство на изделия за пътуване и сарашки изделия"
15.11,"Обработка на кожи без косъм обработка и багрене на кожухарски кожи"
15.12,"Производство на куфари чанти и други изделия за пътуване сарашки и седларски изделия"
15.2,"Производство на обувки"
15.20,"Производство на обувки"
16,"Производство на дървен материал и изделия от дървен материал и корк без мебели производство на изделия от"
16.1,"Разкрояване рендосване и импрегниране на дървен материал"
16.10,"Разкрояване рендосване и импрегниране на дървен материал"
16.2,"Производство на изделия от дървен материал корк слама и материали за плетене"
16.21,"Производство на фурнир и дървесни плочи"
16.22,"Производство на сглобени паркетни плочи"
16.23,"Производство на дограма и други изделия от дървен материал за строителството"
16.24,"Производство на опаковки от дървен материал"
16.29,"Производство на други изделия от дървен материал производство на изделия от корк слама и материали за плет"
17,"Производство на хартия картон и изделия от хартия и картон"
17.1,"Производство на влакнести полуфабрикати хартия и картон"
17.11,"Производство на влакнести полуфабрикати"
17.12,"Производство на хартия и картон"
17.2,"Производство на изделия от хартия и картон"
17.21,"Производство на вълнообразен картон и опаковки от хартия и картон"
17.22,"Производство на домакински санитарно хигиенни и тоалетни изделия от хартия и картон"
17.23,"Производство на канцеларски материали от хартия и картон"
17.24,"Производство на тапети и подобни стенни облицовки"
17.29,"Производство на други изделия от хартия и картон"
18,"Печатна дейност и възпроизвеждане на записани носители"
18.1,"Печатна дейност"
18.11,"Печатане на вестници"
18.12,"Печатане на други издания и печатни продукти"
18.13,"Предпечатна подготовка"
18.14,"Подвързване и подобни дейности свързани с печатането"
18.2,"Възпроизвеждане на записани носители"
18.20,"Възпроизвеждане на записани носители"
19,"Производство на кокс и рафинирани нефтопродукти"
19.1,"Производство на кокс и продукти на коксуването"
19.10,"Производство на кокс и продукти на коксуването"
19.2,"Производство на рафинирани нефтопродукти и брикети от въглища и торф"
19.20,"Производство на рафинирани нефтопродукти и брикети от въглища и торф"
20,"Производство на химични продукти"
20.1,"Производство на основни химични вещества"
20.11,"Производство на промишлени газове"
20.12,"Производство на багрила и пигменти"
20.13,"Производство на други основни неорганични химични вещества"
20.14,"Производство на други основни органични химични вещества"
20.15,"Производство на азотни съединения и торове"
20.16,"Производство на полимери в първични форми"
20.17,"Производство на синтетичен каучук в първични форми"
20.2,"Производство на пестициди и други агрохимикали"
20.20,"Производство на пестициди и други агрохимикали"
20.3,"Производство на бои лакове и подобни продукти печатарско мастило и китове"
20.30,"Производство на бои лакове и подобни продукти печатарско мастило и китове"
20.4,"Производство на почистващи миещи тоалетни и козметични препарати"
20.41,"Производство на сапун миещи почистващи и полиращи препарати"
20.42,"Производство на парфюми и тоалетни продукти"
20.5,"Производство на други химични продукти"
20.51,"Производство на експлозиви"
20.52,"Производство на лепила"
20.53,"Производство на етерични масла"
20.59,"Производство на други химични продукти некласифицирани другаде"
20.6,"Производство на изкуствени и синтетични влакна"
20.60,"Производство на изкуствени и синтетични влакна"
21,"Производство на лекарствени вещества и продукти"
21.1,"Производство на лекарствени вещества"
21.10,"Производство на лекарствени вещества"
21.2,"Производство на лекарствени продукти"
21.20,"Производство на лекарствени продукти"
22,"Производство на изделия от каучук и пластмаси"
22.1,"Производство на изделия от каучук"
22.11,"Производство на външни и вътрешни гуми регенериране на пневматични гуми"
22.19,"Производство на други изделия от каучук"
22.2,"Производство на изделия от пластмаси"
22.21,"Производство на листове плочи тръби и профили от пластмаси"
22.22,"Производство на опаковки от пластмаси"
22.23,"Производство на дограма и други изделия от пластмаси за строителството"
22.29,"Производство на други изделия от пластмаси"
23,"Производство на изделия от други неметални минерални суровини"
23.1,"Производство на стъкло и изделия от стъкло"
23.11,"Производство на необработено плоско стъкло"
23.12,"Формуване и обработване на плоско стъкло"
23.13,"Производство на опаковки и домакинско стъкло"
23.14,"Производство на стъклени влакна"
23.19,"Производство и обработване на други изделия от стъкло вкл. за техническа употреба"
23.2,"Производство на огнеупорни изделия"
23.20,"Производство на огнеупорни изделия"
23.3,"Производство на керамични изделия за строителството"
23.31,"Производство на керамични плочки"
23.32,"Производство на тухли керемиди и други изделия от печена глина за строителството"
25.72,"Производство на строителен и мебелен обков"
23.4,"Производство на други порцеланови и керамични изделия"
23.41,"Производство на домакински порцелан декоративни изделия от порцелан и други керамични материали"
23.42,"Производство на санитарна керамика"
23.43,"Производство на керамични изолатори"
23.44,"Производство на друга техническа керамика"
23.49,"Производство на други керамични изделия некласифицирани другаде"
23.5,"Производство на цимент вар и гипс"
23.51,"Производство на цимент"
23.52,"Производство на вар и гипс"
23.6,"Производство на изделия от бетон гипс и цимент"
23.61,"Производство на изделия от бетон за строителството"
23.62,"Производство на изделия от гипс за строителството"
23.63,"Производство на готови бетонови смеси"
23.64,"Производство на неогнеупорни строителни разтвори"
23.65,"Производство на влакнесто циментови изделия"
23.69,"Производство на други изделия от бетон гипс и цимент"
23.7,"Рязане профилиране и обработване на строителни и декоративни скални материали"
23.70,"Рязане профилиране и обработване на строителни и декоративни скални материали"
23.9,"Производство на изделия от други неметални минерали"
23.91,"Производство на абразивни изделия"
23.99,"Производство на изделия от други неметални минерали некласифицирани другаде"
24,"Производство на основни метали"
24.1,"Производство на чугун стомана и феросплави"
24.10,"Производство на чугун стомана и феросплави"
24.2,"Производство на тръби кухи профили и фитинги за тях от стомана"
24.20,"Производство на тръби кухи профили и фитинги за тях от стомана"
24.3,"Производство на други продукти при първичната преработка на стомана"
24.31,"Студено изтегляне на пръти"
24.32,"Студено валцуване на тесни ленти"
24.33,"Студено формуване или прегъване на продукти от стомана"
24.34,"Студено изтегляне на тел"
24.4,"Производство на основни благородни и други цветни метали"
24.41,"Производство на благородни метали"
24.42,"Производство на алуминий"
24.43,"Производство на олово цинк калай"
24.44,"Производство на мед"
24.45,"Производство на други цветни метали"
24.46,"Преработка на ядрено гориво"
24.5,"Леене на метали"
24.51,"Леене на чугун"
24.52,"Леене на стомана"
24.53,"Леене на леки метали"
24.54,"Леене на други метали"
25,"Производство на метални изделия без машини и оборудване"
25.1,"Производство на метални изделия за строителството"
25.11,"Производство на метални конструкции и части от тях"
25.12,"Производство на метална дограма"
25.2,"Производство на котли за централно отопление и радиатори с неелектрическо загряване производство на цистерн"
25.21,"Производство на котли за централно отопление и радиатори с неелектрическо загряване"
25.29,"Производство на цистерни резервоари и контейнери от метал"
25.3,"Производство на парни котли без котли за централно отопление"
25.30,"Производство на парни котли без котли за централно отопление"
25.4,"Производство на въоръжение и боеприпаси"
25.40,"Производство на въоръжение и боеприпаси"
25.5,"Коване щамповане и валцуване на метал прахова металургия"
25.50,"Коване щамповане и валцуване на метал прахова металургия"
25.6,"Друго металообработване"
25.61,"Повърхностно обработване и нанасяне на покритие върху метал"
25.62,"Механично обработване на метал"
25.7,"Производство на кухненски прибори инструменти и железария"
25.71,"Производство на кухненски прибори и ножарски изделия"
25.73,"Производство на сечива и инструменти за ръчна работа"
25.9,"Производство на други метални изделия"
25.91,"Производство на варели и подобни съдове от стомана"
25.92,"Производство на леки опаковки от метал"
25.93,"Производство на изделия от тел вериги и пружини"
25.94,"Производство на свързващи елементи"
25.99,"Производство на други метални изделия некласифицирани другаде"
