1114,"9018","Вицепрезидент, организация на работниците и служителите"
1114,"9019","Изпълнителен директор, оранизация на работниците и служителите"
1114,"9020","Главен директор, организация на работниците и служителите"
1114,"9021","Директор, организация на работниците и служителите"
1114,"7022","Изпълнителен директор, организации с нестопанска цел/съсловни организации"
1114,"7023","Директор, организации с нестопанска цел/съсловни организации"
1114,"9024","Председател, организации с нестопанска цел/съсловни организации"
1114,"9025","Заместник-председател, организации с нестопанска цел/съсловни организации"
1114,"9026","Генерален секретар, организации с нестопанска цел/съсловни организации"
1114,"9027","Секретар, организации с нестопанска цел/съсловни организации"
1114,"9028","Ръководител, контролен орган на организации с нестопанска цел/съсловни организации"
1114,"9029","Висш служител на друго регистрирано вероизповедание"
1114,"9030","Патриарх на Българската православна църква"
1114,"9031","Митрополит"
1114,"9032","Главен мюфтия"
1114,"9033","Епископ на Католическата църква в България"
1114,"9034","Председател на Български олимпийски комитет"
1114,"7035","Председател, обществена организация"
1114,"7036","Заместник-председател, обществена организация"
1114,"4037","Игумен на ставропигиален манастир"
1114,"5038","Изпълнителен секретар, организация на работниците и служителите"
1114,"5039","Началник кабинет, организация на работниците и служителите"
1114,"5040","Парламентарен секретар, организация на работниците и служителите"
1114,"5041","Наименованието е преместено в единична група 2422, считано от 01.07.2011 г."
1114,"5042","Ръководител на Пресцентър, организация на работниците и служителите"
1114,"5043","Федерален секретар, браншова организация на работниците и служителите"
1114,"6044","Главен секретар на СВ. Синод"
112,,"Управляващи и изпълнителни директори "
1120,,"Управляващи и изпълнителни директори "
1120,"7001","Генерален директор "
1120,"7002","Изпълнителен директор"
1120,"6003","Изпълнителен директор/директор, лечебно заведение за болнична помощ"
1120,"6004","Ръководител, кооперативно предприятие"
1120,"6005","Директор, организация"
1120,"6006","Директор, предприятие"
1120,"6007","Директор, вестник"
1120,"6008","Директор, радио"
1120,"6009","Директор, телевизия"
1120,"7010","Директор, банка"
1120,"7011","Заместник-директор, банка"
1120,"7012","Заместник-генерален директор"
1120,"6013","Заместник-директор, организация"
1120,"6014","Заместник-директор, предприятие"
1120,"7015","Заместник-ръководител, кооперативно предприятие"
1120,"7016","Заместник-председател, управителен съвет/съвет на директорите, търговско дружество"
1120,"7017","Заместник-изпълнителен директор"
1120,"7018","Председател, управителен съвет (съвет на директорите) на търговско дружество"
1120,"7019","Председател, Надзорен съвет в търговско дружество"
1120,"7020","Член, съвет на директорите"
1120,"7021","Член, управителен съвет"
1120,"7022","Прокурист (търговски управител)"
1120,"7023","Управител"
1120,"7024","Управител, застрахователно дружество"
1120,"7025","Член, Надзорен съвет в търговско дружество"
1120,"7026","Главно надзорно лице"
1120,"7027","Заместник-управител"
1120,"9028","Заместник-председател управителен съвет, Централен кооперативен съюз"
1120,"9029","Заместник-председател, кооперативен съюз"
1120,"9030","Заместник-председател, кооперация"
1120,"9031","Председател, контролен съвет на кооперативен съюз"
1120,"9032","Председател, контролен съвет на Централен кооперативен съюз"
1120,"9033","Председател, кооперативен съюз"
1120,"9034","Председател, кооперация"
1120,"9035","Председател на управителен съвет на Централен кооперативен съюз"
1120,"9036","Ректор, висше училище"
1120,"9037","Заместник-ректор, висше училище"
1120,"7038","Помощник-ректор, висше училище"
1120,"9039","Генерален директор на Българска телеграфна агенция"
1120,"6040","Ръководител, отдел в транспорта и въздушното обслужване"
1120,"7041","Ръководител/директор, регионално поделение обслужване на въздушно движение"
1120,"7042","Заместник ръководител/директор, регионално поделение обслужване на въздушно движение"
1120,"7043","Ръководител/директор, обособено звено транспорт"
1120,"7044","Директор, обособено звено аеронавигационното в обслужване"
1120,"7045","Регионален мениджър"
1120,"7046","Управител, клон на търговско дружество"
1120,"7047","Ръководител във фармацевтичната компания, фармацевт"
1120,"6048","Директор"
1120,"6049","Ректор на Духовната семинария"
1120,"7050","Директор регионално поделение"
1120,"7051","Програмен директор"
1120,"7052","Главен архитект, община/район"
1120,"7053","Член на Висшия съдебен съвет"
12,,"АДМИНИСТРАТИВНИ РЪКОВОДИТЕЛИ И РЪКОВОДИТЕЛИ В ТЪРГОВСКИ ДРУЖЕСТВА"
121,,"Ръководители в бизнес услугите и административните дейности"
1211,,"Ръководители на финансови дейности"
1211,"7001","Финансов директор"
1211,"7002","Финансов мениджър"
1211,"6003","Управител, финансови дейности"
1211,"6004","Управител, счетоводни услуги"
1211,"6005","Ръководител, финансов отдел"
1211,"6006","Ръководител, финансов сектор"
1211,"6007","Ръководител, счетоводен отдел"
1211,"6008","Директор за връзки с инвеститорите"
1211,"6009","Корпоративен секретар"
1212,,"Ръководители по управление на човешките ресурси"
1212,"6001","Управител, човешки ресурси"
1212,"6002","Директор/Мениджър човешки ресурси"
1212,"6003","Ръководител, отдел човешки ресурси"
1212,"6004","Ръководител, сектор човешки ресурси"
1212,"6005","Ръководител, организация и ефективност на труда"
1212,"6006","Ръководител, набиране на персонал"
1212,"6007","Ръководител, здравословни и безопасни условия на труд"
1213,,"Ръководители по политики и стратегическо планиране "
1213,"7001","Главен юрист, Българска народна банка"
1213,"7002","Главен касиер, Българска народна банка"
1213,"7003","Главен счетоводител, Българска народна банка"
1213,"9004","Член, Надзорен съвет на агенция"
1213,"9005","Член, Сметна палата"
1213,"9006","Член, държавна комисия"
1213,"7007","Директор дирекция, администрация на Президента"
1213,"7008","Директор дирекция, администрация"
1213,"7009","Директор дирекция, Сметна палата"
1213,"7010","Директор, областна администрация"
1213,"7011","Директор на юридическо лице по чл. 60 от Закона за администрацията"
1213,"6012","Директор дирекция, община"
1213,"7013","Директор на дирекция в Столична община"
1213,"7014","Директор дирекция, политики и стратегическо планиране"
1213,"7015","Икономически директор"
1213,"6016","Мениджър, корпоративно планиране"
1213,"7017","Заместник-директор на дирекция, администрация"
1213,"7018","Председател на медицинска комисия, лекар, НОИ"
1213,"7019","Началник отдел, Народно събрание"
1213,"7020","Началник отдел, администрация на Президента"
1213,"7021","Началник отдел, Сметна палата"
1213,"6022","Началник отдел, администрация"
1213,"7023","Началник отдел, областна администрация"
1213,"6024","Началник отдел, община/район"
1213,"7025","Началник отдел, Столична община"
1213,"6026","Началник отдел, кметство"
1213,"6027","Началник сектор, администрация Народното събрание"
1213,"6028","Началник сектор, администрация на Президента"
1213,"6029","Началник сектор, администрация"
1213,"6030","Началник сектор, Сметна палата"
1213,"7031","Началник сектор, областна администрация"
1213,"7032","Началник сектор, териториално поделение "
1213,"7033","Началник сектор, териториално звено"
1213,"6034","Началник сектор, община/район"
1213,"6035","Началник сектор, Столична община"
1213,"7036","Ръководител инспекторат, администрация"
1213,"7037","Началник управление, Българска народна банка"
1213,"7038","Главен одитор, Българска народна банка"
1213,"7039","Ръководител, вътрешен одит"
1213,"7040","Ръководител вътрешен одит, Сметна палата"
1213,"7041","Ръководител сектор експертиза на работоспособността, лекар"
1213,"7042","Ръководител инспекторат, Столична община"
1213,"7043","Ръководител, отдел по икономически анализи и прогнози"
1213,"7044","Ръководител, стратегическо планиране"
1213,"7045","Ръководител филиал, териториално поделение на НОИ"
1213,"5046","Ръководител проект "
1213,"5047","Ръководител, технически надзор"
1213,"5048","Директор дирекция, администрация на МС"
1213,"5049","Началник отдел, администрация на МС"
1213,"5050","Началник сектор, администрация на МС"
1213,"6051","Главен инженер, предприятие"
1213,"7052","Инспектор в инспектората към министъра на правосъдието"
1213,"7053","Разследващ митнически инспектор"
1213,"7054","Член на Медицинска комисия, лекар, НОИ"
1213,"6055","Ръководител на звено в митнически пункт"
1213,"6056","Регионален инспектор "
1213,"6057","Секретар на местна комисия за борба срещу противообществените прояви на малолетните и непълнолетните"
1213,"7058","Ръководител на специализирано звено за разследване"
1219,,"Ръководители в бизнес услугите и административните дейности, н.д."
1219,"7001","Директор дирекция, административни дейности"
1219,"6002","Управител, бизнес услуги"
1219,"6003","Управител, чистота"
1219,"5004","Мениджър, инфраструктура и логистика в предприятие "
1219,"5005","Ръководител, направление"
1219,"5006","Фасилити мениджър"
1219,"6007","Ръководител, отдел в бизнес услугите"
1219,"3008","Ръководител, отдел в битовото обслужване"
1219,"3009","Ръководител, отдел в чистотата"
1219,"6010","Ръководител/началник, административен отдел"
1219,"6011","Ръководител звено"
1219,"5012","Ръководител, група"
1219,"5013","Ръководител, клиентски център"
1219,"5014","Главен директор, банка"
1219,"5015","Директор дирекция, банка"
1219,"5016","Началник управление, банка"
1219,"5017","Ръководител регионално звено"
1219,"5018","Ръководител/Директор/Началник  управление "
1219,"6019","Ръководител/Началник сектор"
1219,"6020","Ръководител/Началник служба"
1219,"6021","Ръководител/Началник/Мениджър отдел"
1219,"6022","Директор дирекция"
1219,"7023","Ръководител интегрирана система за управление"
1219,"7024","Началник, административна служба"
122,,"Ръководители по продажби, маркетинг и развойна дейност"
1221,,"Ръководители по продажби и маркетинг"
1221,"7001","Търговски директор"
1221,"6002","Управител, продажби и маркетинг"
1221,"6003","Мениджър покупки/продажби"
1221,"6004","Маркетинг мениджър/Директор маркетинг"
1221,"6005","Мениджър проучване на пазари"
1221,"6006","Ръководител, външнотърговска кантора"
1221,"6007","Ръководител, отдел по маркетинг"
1221,"6008","Ръководител, отдел по продажбите"
1221,"6009","Мениджър на търговската марка/Бранд мениджър"
1222,,"Ръководители реклама и връзки с обществеността "
1222,"6001","Ръководител звено, връзки с обществеността"
1222,"6002","Ръководител звено, реклама"
1222,"6003","Мениджър, връзки с обществеността"
1222,"6004","Мениджър, реклама"
1222,"6005","Управител, реклама и връзки с обществеността "
1223,,"Ръководители на научноизследователска и развойна дейност"
1223,"7001","Председател, Българска академия на науките"
1223,"7002","Заместник-председател, Българска академия на науките"
1223,"7003","Директор, институт"
1223,"7004","Заместник-директор, институт"
1223,"7005","Главен научен секретар"
1223,"7006","Ръководител звено, изследване и развитие"
1223,"7007","Ръководител, научна програма"
1223,"7008","Ръководител, научен програмен колектив"
1223,"7009","Ръководител, научна секция"
1223,"7010","Главен конструктор"
1223,"7011","Началник отдел технически и качествен контрол"
1223,"3012","Завеждащ научна лаборатория"
13,,"РЪКОВОДИТЕЛИ В ПРОИЗВОДСТВОТО И СПЕЦИАЛИЗИРАНИТЕ УСЛУГИ"
131,,"Ръководители в селското, горското и рибното стопанство"
1311,,"Ръководители в селското и горското стопанство"
1311,"3001","Ръководител участък, горско стопанство (лесничейство)"
1311,"3002","Ръководител участък, земеделие"
1311,"6003","Ръководител, горско стопанство"
1311,"6004","Ръководител, земеделие"
1311,"6005","Ръководител, животновъдство"
1311,"6006","Главен лесничей"
1311,"5007","Ръководител ловно стопанство"
1312,,"Ръководители в риболова и аквакултурите "
1312,"3001","Ръководител участък, риболов"
1312,"6002","Ръководител, риболов"
1312,"6003","Ръководител, рибовъдство"
132,,"Ръководители в преработващата и добивната промишленост, строителството и дистрибуцията"
1321,,"Ръководители в преработващата промишленост"
1321,"3001","Управител, преработваща промишленост"
1321,"7002","Мениджър, производство"
1321,"7003","Главен инженер, преработваща промишленост"
1321,"5004","Началник, цех"
1321,"7005","Началник производство"
1321,"6006","Заместник-ръководител, обособено производство"
1321,"6007","Ръководител, отдел в промишлеността"
1321,"6008","Ръководител, обособено производство"
1321,"6009","Ръководител сектор/звено в промишлеността"
1321,"7010","Ръководител, производствено поделение"
1321,"7011","Ръководител, структурно звено/ядрен енергиен блок"
1321,"7012","Ръководител, структурно звено/ядрена електроцентрала"
1321,"7013","Главен технолог, ядрен енергиен блок"
1321,"7014","Главен технолог, ядрена централа"
1321,"7015","Главен технолог, преработваща промишленост"
1321,"7016","Главен енергетик"
1321,"7017","Главен механик"
1321,"5018","Ръководител, лаборатория в предприятие"
1321,"5019","Главен корабостроител "
1321,"5020","Директор, производство"
1321,"5021","Технически директор"
1321,"5022","Ръководител, пречиствателна станция"
1321,"5023","Главен метролог"
1321,"5024","Ръководител група, преработваща промишленост"
1321,"5025","Ръководител, инсталация"
1321,"5026","Ръководител, резервоарен парк"
1321,"6027","Директор дирекция, преработваща промишленост"
1321,"6028","Ръководител, инфраструктура и поддръжка"
1321,"7029","Ръководител производство, лекарствени продукти"
1321,"6030","Квалифицирано лице, фармацевтично производство"
1322,,"Ръководители в добивната промишленост"
1322,"3001","Управител, добивна промишленост"
1322,"7002","Началник, рудник"
1322,"7003","Началник, обогатителна фабрика"
1322,"7004","Главен инженер, добивна промишленост"
1322,"6005","Ръководител група, добивна промишленост"
1322,"6006","Ръководител участък, добивна промишленост"
1322,"3007","Ръководител подземен обект"
1322,"7008","Ръководител минноспасителна служба"
1322,"7009","Директор, обогатителен комплекс"
1322,"7010","Директор, рудодобивен комплекс"
1323,,"Ръководители в строителството"
1323,"5001","Управител , проектиране"
1323,"5002","Управител, строителство"
1323,"6003","Главен инженер, строителство"
1323,"3004","Строителен предприемач"
1323,"6005","Инженер, строителен надзор"
1323,"7006","Началник, строителен обект"
1323,"6007","Началник, строеж"
1323,"6008","Ръководител, отдел в строителството"
1323,"7009","Ръководител, отдел в проектирането"
1323,"7010","Ръководител, група в строителството"
1323,"6011","Мениджър, инвестиционни проекти"
1324,,"Ръководители снабдяване, дистрибуция и сродни на тях "
1324,"3001","Мениджър, логистика"
1324,"5002","Директор, закупуване"
1324,"3003","Управител, складово стопанство"
1324,"3004","Управител, транспорт"
1324,"7005","Началник, аерогара"
1324,"7006","Началник, летище"
1324,"7007","Началник, морска гара"
1324,"7008","Началник, речна гара"
1324,"7009","Началник на ремонтно звено, транспорт"
1324,"3010","Началник участък, свръзки и ел. съоръжения"
1324,"3011","Началник участък, осигурителни инсталации"
1324,"3012","Началник, тягова подстанция в железопътен транспорт"
1324,"3013","Началник, подрайон по контактна железопътна мрежа"
1324,"3014","Началник, участък по поддържане на железния път и съоръженията"
1324,"3015","Началник, автогара"
1324,"3016","Началник, експлоатационно звено в транспорта"
1324,"3017","Началник, превозна служба"
1324,"5018","Началник, железопътна гара"
1324,"5019","Началник, метростанция"
1324,"3020","Началник, вагонно-ревизорски участък"
1324,"3021","Ръководител, отдел в транспорта"
1324,"5022","Заместник-началник, железопътна гара"
1324,"6023","Ръководител, отдел в транспорта (нефто- и газопроводи)"
1324,"5024","Ръководител, отдел в складовото стопанство"
1324,"5025","Ръководител група, транспорт"
1324,"5026","Ръководител, транспорт"
1324,"3027","Ръководител смяна, транспортно експлоатационно звено"
1324,"3028","Ръководител смяна, ремонтно звено в транспорта"
1324,"6029","Ръководител отдел, доставки"
1324,"6030","Ръководител отдел, дистрибуция"
1324,"6031","Ръководител отдел, складиране"
1324,"6032","Ръководител, автобаза"
1324,"5033","Летец-пилот, директор на дирекция"
1324,"5034","Ръководител автосервиз"
1324,"5035","Началник пристанищен район"
1324,"6036","Главен пилот, директор дирекция"
1324,"6037","Ръководител на район"
1324,"7038","Главен авиоинженер, директор дирекция"
1324,"7039","Ръководител на организация за техническо обслужване, авиация"
1324,"7040","Ръководител на организация за поддържане на непрекъсната летателна годност"
133,,"Ръководители в областта на информационните и комуникационните технологии"
1330,,"Ръководители в областта на информационните и комуникационните технологии"
1330,"6001","Директор, информационни системи"
1330,"6002","Директор/ Мениджър, информационни технологии"
1330,"3003","Началник, пощенска станция"
1330,"3004","Ръководител,  комуникационни технологии"
1330,"6005","Ръководител, информационно обслужване"
1330,"6006","Ръководител, компютърно обслужване"
1330,"6007","Ръководител, компютърни системи: разработка на системи"
1330,"6008","Ръководител, информационни и комуникационни технологии"
1330,"6009","Мениджър, мрежи"
1330,"6010","Мениджър, софтуерни приложения"
1330,"6011","Мениджър, софтуерно развитие"
1330,"6012","Мениджър, обработка на данни "
1330,"3013","Управител, пощи"
1330,"6014","Управител, Интернет доставки"
1330,"5015","Ръководител радио/телевизионни станции"
1330,"5016","Ръководител, сектор/студиен комплекс - радио и телевизия"
1330,"5017","Главен редактор, радио/телевизия"
1330,"5018","Директор на дирекция, радио/телевизия"
1330,"5019","Директор, радио/телевизионна програма"
1330,"5020","Ръководител, техническа смяна радио/телевизия"
1330,"5021","Мениджър ИТ център"
1330,"5022","Директор, информационни системи и системи за управление"
1330,"5023","Ръководител, информационни и комуникационни технологии и системи за управление "
1330,"6024","Ръководител подвижни радиорелейни/телевизионни станции"
1330,"6025","Изпълнителен продуцент"
134,,"Ръководители в областта на професионалните услуги"
1341,,"Ръководители в областта на услугите за грижи за деца"
