26,5,,"Имен ден","nameday","karp, karpo"
30,5,,"Имен ден","nameday","emil, emilia, emilian, emiliana"
4,6,,"Имен ден","nameday","marta"
7,6,,"Имен ден","nameday","valeri, valerii, valeria"
10,6,,"Имен ден","nameday","antonina"
15,6,,"Имен ден","nameday","avgustin, augustin, vitan, vitomir"
20,6,,"Имен ден","nameday","biser, bisera, naum"
21,6,,"Имен ден","nameday","iavor, iasen"
24,6,,"Еньовден","nameday","enio, iasen, encho, enjo, yani, iani, ianislav"
28,6,,"Имен ден","nameday","david"
29,6,,"Имен ден","nameday","petar, petra, pavlin, pavlina, petrana, peco, petso, petia, petja, polina, kamen, pavel, peio, penka, pencho"
30,6,,"Събор на Светите 12 апостоли","nameday","apostol"
1,7,,"Имен ден","nameday","kozma, kuzman, dame, damian, krasimir, krasimira, krasina"
3,7,,"Имен ден","nameday","anatoli, anatolii, anatoliy, anatoly"
6,7,,"Имен ден","nameday","avakum"
7,7,,"Имен ден","nameday","nedialko, nedyalko, nedialka, nedyalka, neda, delcho, deljo, delio, nedelcho, dedelia, nedelya, neshka, ianka, yanka, yanko, ianko"
11,7,,"Имен ден","nameday","oleg, olga, olia, olya"
15,7,,"Имен ден","nameday","vlada, vladimira, vladimir, vitomir, gospodin, gospodinka"
16,7,,"Имен ден","nameday","juli, julia, julya, julka, iulia, iuliana, iulian, julian, julianka, youli, youlianka, yulian, iuli, iulia, iuli, iulian, iuliana, djuli, djulia, djuliana, juli, julia, julian, juliana, juliane, julie"
17,7,,"Имен ден","nameday","marin, marina, marincho, marinka"
20,7,,"Имен ден","nameday","ilia, iliya, ilian, ilyan, iliana, iliyana, ilko, ilka, lilo, ilianka"
22,7,,"Имен ден","nameday","magda, magdalena, magdalen, magdalina, magi, magie, magito, magity, magy, manda, meglena, miglena"
25,7,,"Успение на Св. Анна","nameday","ana, ani, anitsa, anna"
26,7,,"Имен ден","nameday","paraskev, paraskeva, parashkev, parashkeva"
29,7,,"Имен ден","nameday","goran, kalin"
26,8,,"Мчц-и Адриан и Наталия","nameday","adrian, adriana"
30,8,,"Св. Александър, Йоан и Павел-патриарси Цариградски","nameday","aleko,alexander,aleksandar,alexandra,aleksandra"
14,9,,"Кръстовден","nameday","Кръстьо, Кръстина, Кръстил, Кръстила, Кръстилена, Кръстена, Кръстан, Кръстана"
16,9,,"Св. Людмила Чешка","nameday","Людмил, Людмила"
17,9,,"Вяра, Надежда и Любов","nameday","Вяра, Надежда, Любов, София, Софица, Софка, Софиян, Софияна, Люба, Любомир, Любчо, Любомил, Любослав, Любена, Верина, Верослав, Верослава, Нада, Надя, Надка, Надко, Надина"
1,10,,"Покров Богородичен","nameday","Анани, Анания"
6,10,,"св. Тома","nameday","Тома, Томислав, Томислава"
9,10,,"Св. Ап.Иаков Алфеев. Преп. Андроник и Атанасия","nameday","avram"
14,10,,"Петковден","nameday","Петко, Петка, Петкан, Петра, Петрана, Петрина, Петрия, Петричка, Петкана, Пенко, Пенка, Параскев, Параскева, Парашкев, Парашкева, Паруш, Кева"
30,11,,"Св. Ап. Андрей Първозвани (Андреевден)","nameday","andrej, andrei, andrey"
8,11,,"Събор на Св. Арх.Михаил; (Архангеловден)","nameday","angel, angelina, radka, radko"
6,12,,"Никулден","nameday","Никола, Николай, Николина, Ненка, Нина, Натали"
27,12,,"Стефановден","nameday","stanimir, stanimira,Стефан, Стефана, Стефания, Стефи, Фани, Венцислав, Венцислава, Запрян, Стамен, Стамена, Станимир, Станимира, Стоил, Стоилка, Станка, Станчо, Стоян, Стоянка, Таня"
2,2,,"Имен ден","nameday","Ванеса, Момчил, Радост, Радостин, Радостина, Драго, Драгомир, Ралин, Радина, Радослав, Радислава, Средко, Средка, Сретен, Сретен (Петльовден по стар стил)"
15,3,,"Имен ден","nameday","Божан, Божил, Божко, Емануил, Манол, Манчо, Тотьо"
16,3,,"ЖельоВильов Ден","nameday","Велизар, Желяз"
17,3,,"Св. преподобни Алексий","nameday","Алекси"
19,3,,"Имен ден","nameday","Дария, Найден"
29,4,,"Имен ден","nameday","Пенчо, Пенка, Пеньо, Пенко"
12,5,,"Имен ден","nameday","Герана, Герасим, Герда, Герман, Геро, Джерман, Искра, Искрен"
24,7,,"Св. великомъченица Христина","nameday","Христина"
27,7,,"Имен ден","nameday","Панчо, Панка, Пантелей"
8,8,,"Имен ден","nameday","Емил, Емилия"
10,8,,"Имен ден","nameday","Ивайло"
15,8,,"Успение Богородично, Голяма Богородица","nameday","Мария, Мара, Марийка, Мима, Мими, Марио, Панайот и др."
20,8,,"св. Самуил","nameday","Самуил"
23,8,,"Имен ден","nameday","Вълко, Витан"
29,8,,"Св. Анастасий Струмишки","nameday","Анастас, Анастасия и др."
31,8,,"Имен ден","nameday","Гено, Гена, Генчо, Генади"
1,9,,"Симеоновден, св. Симеон Стълпник","nameday","Симеон"
5,9,,"Св. пророк Захарий и праведна Елисавета","nameday","Захари и Елисавета, Зарко, Светлозар, Светлозара, Ели , Изабел и др."
20,9,,"Имен ден","nameday","Евстати"
22,9,,"Имен ден","nameday","Гълъбин(а)"
18,10,,"Св. Злата Мъгленска","nameday","Злата, Златка, Златина, Златинка, Златко, Златан, Златомир, Златозария, Лука, Лукан и др."
27,10,,"Имен ден","nameday","Нестор"
11,11,,"Св. мъченици Мина, Виктор и Викентий","nameday","Виктор, Виктория, Мина, Милена, Минка, Минчо и др. "
14,11,,"Коледни заговезни","nameday","Филип, Управда, Юстиниан"
16,11,,"Имен ден","nameday","Матей"
23,11,,"Православен","orthodox","Св. Амфилохий, епископ Иконийски, Св. Григорий, епископ Акрагантийски (V-VI), Св. благоверен княз Александър Невски"
24,11,,"Св. великомъченица Екатерина","nameday","Екатерина, Катерина, Катя, Катрин и др. "
26,11,,"Имен ден","nameday","Стилиян, Стелян, Стела, Стилян и др."
4,12,,"Св. великомъченица Варвара","nameday","Варвара, Барбара и др."
5,12,,"Св. преподобни Сава Освещени","nameday","Сава, Савина, Савка, Савчо, Светослав, Владислав(а),Станислав, Станислава, Венцислав(а), Десислава, Слав(чо), Съби, Сабина, Събина, Слави, Слава, Славка и др."
9,12,,"зачатие на св. Анна – баба на Исус Христос","nameday","Ана, Анна, Анка, Анета, Анелия и др."
15,12,,"Имен ден","nameday","Свобода"
17,12,,"Св. пророк Даниил","nameday","Данаил, Даниел, Даниела,Данислав и др."
20,12,,"Игнажден","nameday","Игнат, Искра, Искрен, Пламен, Пламена, Огнян, Огняна, Светла,"
21,12,,"Св. мъченица Юлияния","nameday","Юлия, Юлиян, Юлияна"
22,12,,"Св. великомъченица Анастасия","nameday","Анастасия"
24,12,,"Света Евгения","nameday","Женя, Бистра и др"
25,12,,"Рождество Христово","nameday","Божидар, Емил, Христо, Християн, Христин, Кристиян, Кристиан, Христа, Христина, Радослав, Кристина, Кристиана, Кристин, Младен, Радомир, Радостин(а),Радина, Радослава, Емануил и др."
26,12,,"Св. Йосиф Обручник и Цар Давид","nameday","Йосиф и Давид

В Австрия: St Stephen's Day"
1,1,,"Василовден","orthodox","Обрезание Господне. Св. Василий Велики"
6,1,,"Йордановден","orthodox","Св. Богоявление"
7,1,,"Ивановден","orthodox","Св. Йоан Кръстител"
1,2,,"Трифоновден","orthodox","Св. мчк Трифон"
2,2,,"Църковен празник","orthodox","Сретение Господне "
25,3,,"Църковен празник","orthodox","Благовещение "
6,5,,"Гергьовден","orthodox","Св. вмчк Георги Победоносец"
11,5,,"Църковен празник","orthodox","Св. равноапостолни Методий и Кирил"
24,5,,"Църковен празник","orthodox","Ден на Българската просвета и култура и на славянската писменост"
29,6,,"Петровден","orthodox","Св. първовърховни апли Петър и Павел"
20,7,,"Илинден","orthodox","Св. прор. Илия"
6,8,,"Църковен празник","orthodox","Преображение Господне"
15,8,,"Църковен празник","orthodox","Успение на Пресвета Богородица"
8,9,,"Църковен празник","orthodox","Рождество на Пресвета Богородица"
14,9,,"Кръстовден","orthodox","Въздвижение на Св. Кръст Господен"
19,10,,"Църковен празник","orthodox","Преп. Йоан Рилски Чудотворец"
8,11,,"Архангеловден","orthodox","Събор на св. архангел Михаил"
21,11,,"Ден на православната християнска младеж и семейство","orthodox","Въведение Богородично"
6,12,,"Никулден","orthodox","Св. Николай, архиеп. Мирликийски, Чудотворец"
11,1,,"Международен ден на думата ""Благодаря""","international","International Thank You Day"
21,1,,"Международен ден на прегръдката","international","International Hug Day"
26,1,,"Световен ден на Митниците","international"," Международния ден на Митническият служител или Световен ден на Митниците
International Customs Day"
2,2,,"Световният ден на влажните зони","international","World Wetlands Day"
4,2,,"Световен ден за борба с рака","international"," World Cancer Day"
6,2,,"Световен ден на бармана","international"," Световен ден на бармана /St. Amand или Amandus

International Bartender's Day"
9,2,,"Световният ден на стоматолога","international","Световният ден на стоматолога"
11,2,,"Световен ден на болните","international","World Day of the Sick"
14,2,,"Деня на влюбените","international","Свети Валентин"
17,2,,"Ден на спонтанните актове на доброта","international","Random Acts of Kindness Day"
21,2,,"Световен ден на майчиния език","international","International Mother Language Day"
1,3,,"Световен ден на гражданската защита","international","World Civil Defence Day"
14,3,,"Световен ден на числото Пи","international","Световен ден на числото Пи (International Pi Day) / Световен ден на реките (Day of Action for Rivers)"
15,3,,"Световния ден на потребителите","international","World Consumer Rights Day"
23,3,,"Световен ден на метеорологията","international","World Meteorological Day"
7,4,,"Световен ден на здравето","international","World Health Day"
12,4,,"Деня на авиацията и космонавтиката","international","Space Probe Day"
