816,ВЕЛИКО ТЪРНОВО - Н. ГАБРОВСКИ (БУЛ.), бул. НИКОЛА ГАБРОВСКИ 42 МАГАЗИН 2
9052,ВЕЛИКО ТЪРНОВО - МОЛ ВЕЛИКО ТЪРНОВО (АВТОМАТ), ул. ОБОРИЩЕ 18 
9053,ВЕЛИКО ТЪРНОВО - СКАЙ ЦЕНТЪР (АВТОМАТ), ул. ЦАНКО ЦЕРКОВСКИ 37 
49,ВЕЛИНГРАД, ул. НИКОЛА ВАПЦАРОВ 
62,ВИДИН - ОФИС, ул. ЕКЗАРХ ЙОСИФ I 13 
113,ВИДИН - СКЛАД, ЮЖНА ПРОМИШЛЕНА ЗОНА БИВШ З-Д БДИН МЕБЕЛ
618,ВИДИН - ВИДА, бул. ПАНОНИЯ 21 
818,ВИДИН - КАЛЕТО, ул. КНЯЗ БОРИС I 5 
19,ВРАЦА - ОФИС, бул. МИТО ОРОЗОВ 6 
20,ВРАЦА - СКЛАД, бул. МИТО ОРОЗОВ 32 
129,ВРАЦА, жк ДЪБНИКА  ОФИС №5
548,ВРАЦА - ПРОБИВА, бул. НИКОЛА ВОЙВОДОВ 16 
673,ВРАЦА, ул. ОКОЛЧИЦА 2 
817,ВРАЦА - ПЛ. ЛЕВСКИ, ул. ГЕН. ЛЕОНОВ 74 
9058,ВРАЦА - СУПЕРМАРКЕТ МЕДКОВЕЦ (АВТОМАТ), бул. 2-РИ ЮНИ 84 
173,ВЪРШЕЦ, ул. РЕПУБЛИКА 70 
15,ГАБРОВО - СКЛАД, ул. ОРЛОВСКА 154 
668,ГАБРОВО, бул. АПРИЛОВ 25 
841,ГАБРОВО - ШИВАРОВ МОСТ, ул. ЙОСИФ СОКОЛСКИ 14 
874,ГАБРОВО - ЕСА, бул. МОГИЛЬОВ 28 
9048,ГАБРОВО - ТЕРА МОЛ (АВТОМАТ), бул. МОГИЛЬОВ 47 
208,ГЕНЕРАЛ ТОШЕВО , ул. Г. С. РАКОВСКИ 6 
880,ГОДЕЧ, пл. СВОБОДА ПАВИЛИОН 4
46,ГОРНА ОРЯХОВИЦА, ул. СВ. КНЯЗ БОРИС I 24 
756,ГОРНА ОРЯХОВИЦА, ул. ВИЧО ГРЪНЧАРОВ 12 
31,ГОЦЕ ДЕЛЧЕВ, ул. ПАОЛО ЛЕНЦ 4 
130,ГОЦЕ ДЕЛЧЕВ - СКЛАД, ул. ПАНАИРСКА ЛИВАДА 
803,ГОЦЕ ДЕЛЧЕВ, ул. ГОЦЕ ДЕЛЧЕВ 2 
219,ГЪЛЪБОВО, бул. РЕПУБЛИКА 92 
42,ДИМИТРОВГРАД, ул. ОТЕЦ ПАИСИЙ 15 
630,ДИМИТРОВГРАД, бул. ДИМИТЪР БЛАГОЕВ 1 
228,ДОБРИНИЩЕ, ул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ 11 
14,ДОБРИЧ, пл. СВОБОДА 8 
128,ДОБРИЧ - СКЛАД, жк ДОБРОТИЦА 
245,ДОБРИЧ, ул. ДУНАВ 16 
851,ДОБРИЧ, бул. 25-ТИ СЕПТЕМВРИ 37 
852,ДОБРИЧ, ул. ГЕН. КОЛЕВ 30 
168,ДОЛНИ ЧИФЛИК , ул. ТИЧА 6 
593,ДУЛОВО, ул. ВАСИЛ ЛЕВСКИ 8 
26,ДУПНИЦА, ул. СТРАХИЛ ВОЙВОДА 30 
9070,ДУПНИЦА - КАУФЛАНД (АВТОМАТ), ул. СВ. ИВАН РИЛСКИ 96А 
232,ЕЛИН ПЕЛИН - НИКОЛАЙ ЧУДОТВОРЕЦ (ПЛ.), ПЛ. НИКОЛАЙ ЧУДОТВОРЕЦ
9059,ЕЛИН ПЕЛИН - ФАНТАСТИКО (АВТОМАТ), ул. ВИТОША 7 
73,ЕЛХОВО, ул. ТЪРГОВСКА 69 ПАРТЕР
887,ЕТРОПОЛЕ, бул. РУСКИ 95 
594,ИСПЕРИХ, ул. СТЕФАН КАРАДЖА 1 
702,КАБЛЕШКОВО, ул. ЧЕРНО МОРЕ 20 
552,КАВАРНА, ул. БЪЛГАРИЯ 26 
21,КАЗАНЛЪК - СКЛАД, бул. КНЯЗ АЛЕКСАНДЪР БАТЕНБЕРГ 221 
135,КАЗАНЛЪК - ПАРК РОЗАРИУМ, ул. ГЕН. СТОЛЕТОВ 1 
151,КАЗАНЛЪК - МАНАСТИРА, бул. 23-ТИ ПЕХОТЕН ШИПЧЕНСКИ ПОЛК 40 
9044,КАЗАНЛЪК - БИЛЛА БАЧО КИРО (АВТОМАТ), ул. БАЧО КИРО 6 
207,КАЗИЧЕНЕ, ул. НИКОЛА ПЕТКОВ 34 
22,КАРЛОВО, ул. ГЕН. ЗАИМОВ 8 
835,КАРЛОВО - КОМПЛЕКС ЗАМЪКА, бул. ОСВОБОЖДЕНИЕ 19А 
28,КАРНОБАТ, ул. ВАСИЛ ЛЕВСКИ 26 
853,КНЕЖА, ул. ДИМИТЪР БУТАНСКИ 27 
64,КОЗЛОДУЙ - СКЛАД, ул. ЛОМСКА 6 
148,КОЗЛОДУЙ - ОФИС, ул. ХРИСТО БОТЕВ 1 
217,КОСТЕНЕЦ, ул. ТЪРГОВСКА 9 
177,КОСТИНБРОД - БИЛЛА ПАРК, ул. СЛАВЯНСКА 34 
585,КОСТИНБРОД - ЦЕНТЪР,  ул. ОХРИД 9 
224,КУБРАТ, ул. Н. Й. ВАПЦАРОВ 4А 
32,КЪРДЖАЛИ, бул. БЕЛОМОРСКИ 68 
223,КЪРДЖАЛИ, ул. ЕКЗАРХ ЙОСИФ 6 
865,КЪРДЖАЛИ, жк ВЪЗРОЖДЕНЦИ бул. ХРИСТО БОТЕВ 67 
9046,КЪРДЖАЛИ - БИЛЛА БУЛ. БЪЛГАРИЯ (АВТОМАТ), бул. БЪЛГАРИЯ 115 
23,КЮСТЕНДИЛ, ул. ХРИСТО БОТЕВ 51 
524,ЛЕВСКИ, ул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ 61 
25,ЛОВЕЧ, ул. СТАРА ПЛАНИНА 29 
169,ЛОВЕЧ, бул. БЪЛГАРИЯ 81А 
9030,ЛОВЕЧ - БИЛЛА СЪЙКО СЪЕВ (АВТОМАТ), ул. Д-Р СЪЙКО СЪЕВ 30 
63,ЛОМ, ул. СЛАВЯНСКА 62 
831,ЛОМ - НЕЧАЕВ, ул. ДУНАВСКА 71 
529,ЛУКОВИТ, ул. ВЪЗРАЖДАНЕ 85 
220,МАДАН, ул. ОБЕДИНЕНИЕ 24-26 
244,МАРТЕН, ул. АЛЕКСАНДЪР НЕВСКИ 13 
527,МЕЗДРА, ул. ХРИСТО БОТЕВ 25 
766,МИЗИЯ, ул. ГЕОРГИ ДИМИТРОВ 26 
60,МОНТАНА - СКЛАД, ул. СИРМА ВОЙВОДА 6В 
78,МОНТАНА - ОФИС, бул. 3-ТИ МАРТ 30 
187,МОНТАНА, жк ПЛИСКА бул. ПАРТА бл. 2 
252,МОНТАНА - ПЪСТРИНА (Ж.К.), ул. НИКОЛА ВАПЦАРОВ 12 
648,МОНТАНА, жк МЛАДОСТ 1 бул. ГЕН. АРНОЛДИ 11 
819,МОНТАНА - МОНТАЖНА БАЗА, ул. ЮЛИУС ИРАСЕК 19 
9057,МОНТАНА - БИЛЛА КЛИМЕНТ ОХРИДСКИ (АВТОМАТ), ул. СВ. КЛИМЕНТ ОХРИДСКИ 5 
83,НЕСЕБЪР, ул. ЕДЕЛВАЙС 44 
216,НЕСЕБЪР 2, ул. ИВАН ВАЗОВ 13 
56,НОВА ЗАГОРА, ул. 14-ТИ ЯНУАРИ 77 
