5162,с.,Балканци,Стражица,Велико Търново,43.174766,26.008948
9549,с.,Балканци,Генерал Тошево,Добрич,43.598701,28.162879
5081,с.,Балуци,Елена,Велико Търново,42.950715,25.823885
9600,гр.,Балчик,Балчик,Добрич,43.411607,28.166805
1217,с.,Балша,Столична,София Столица,42.847044,23.267858
2060,с.,Бальовци,Ихтиман,София,42.570562,23.683253
3529,с.,Балювица,Берковица,Монтана,43.297039,23.205548
5370,с.,Банари,Дряново,Габрово,42.938404,25.513668
5351,с.,Бангейци,Трявна,Габрово,42.84962,25.451244
7167,с.,Баниска,Две Могили,Русе,43.458259,25.901705
4940,с.,Баните,Баните,Смолян,41.61777,25.016788
3077,с.,Баница,Враца,Враца,43.344012,23.692326
2905,с.,Баничан,Гоце Делчев,Благоевград,41.61737,23.728061
2388,с.,Банище,Брезник,Перник,42.719509,22.72832
7997,с.,Банковец,Антоново,Търговище,43.077085,26.160986
5300,с.,Банковци,Габрово,Габрово,42.930048,25.320098
2466,с.,Банкя,Трън,Перник,42.862904,22.680153
1320,гр.,Банкя,Столична,София Столица,42.706975,23.147055
9144,с.,Баново,Суворово,Варна,43.264544,27.677665
2770,гр.,Банско,Банско,Благоевград,41.836986,23.49091
2060,с.,Банчовци,Ихтиман,София,42.522363,23.697791
2778,с.,Баня,Разлог,Благоевград,41.882756,23.522761
8239,с.,Баня,Несебър,Бургас,42.775641,27.818421
4523,с.,Баня,Панагюрище,Пазарджик,42.463541,24.138929
4360,гр.,Баня,Карлово,Пловдив,42.545333,24.830358
8914,с.,Баня,Нова Загора,Сливен,42.606457,25.991077
2634,с.,Бараково,Кочериново,Кюстендил,42.063158,23.059921
6910,с.,Бараци,Крумовград,Кърджали,41.522592,25.644986
4830,с.,Барутин,Доспат,Смолян,41.600816,24.181386
7071,с.,Басарбово,Русе,Русе,43.778667,25.950064
2883,с.,Баскалци,Петрич,Благоевград,41.47408,23.006675
8218,с.,Бата,Поморие,Бургас,42.736292,27.491656
5228,с.,Батак,Павликени,Велико Търново,43.349909,25.338769
4580,гр.,Батак,Батак,Пазарджик,41.944165,24.219037
2340,гр.,Батановци,Перник,Перник,42.598627,22.955561
7172,с.,Батин,Борово,Русе,43.656524,25.680078
7169,с.,Батишница,Две Могили,Русе,43.533591,25.869795
9364,с.,Батово,Добрич-Селска,Добрич,43.413744,27.960554
5470,с.,Батошево,Севлиево,Габрово,42.909182,25.084935
2295,с.,Батулия,Своге,София,42.896746,23.417762
5764,с.,Батулци,Ябланица,Ловеч,43.087186,24.00602
3068,с.,Баурене,Криводол,Враца,43.443057,23.486307
2219,с.,Бахалин,Сливница,София,42.885228,22.914424
5567,с.,Баховица,Ловеч,Ловеч,43.188458,24.682852
5367,с.,Бахреци,Трявна,Габрово,42.828638,25.531545
5948,с.,Бацова Махала,Никопол,Плевен,43.506667,24.996614
2769,с.,Бачево,Разлог,Благоевград,41.921555,23.452763
4251,с.,Бачково,Асеновград,Пловдив,41.95179,24.858674
6777,с.,Башево,Ардино,Кърджали,41.661305,25.152108
6669,с.,Бащино,Кърджали,Кърджали,41.71688,25.561558
7619,с.,Бащино,Главиница,Силистра,43.952223,26.92771
6068,с.,Бащино,Опан,Стара Загора,42.101611,25.740384
7745,с.,Баячево,Търговище,Търговище,43.229601,26.662911
9381,с.,Бдинци,Добрич-Селска,Добрич,43.522859,27.520789
5084,с.,Беброво,Елена,Велико Търново,42.953235,26.009049
5872,с.,Беглеж,Плевен,Плевен,43.246891,24.486573
4166,с.,Бегово,Калояново,Пловдив,42.411126,24.828367
2395,с.,Бегуновци,Брезник,Перник,42.693841,22.834098
4359,с.,Бегунци,Карлово,Пловдив,42.546702,24.879601
4817,с.,Беден,Девин,Смолян,41.716937,24.47178
9924,с.,Беджене,Нови Пазар,Шумен,43.448242,27.265996
6716,с.,Бедрово,Черноочене,Кърджали,41.741308,25.385033
5792,с.,Бежаново,Луковит,Ловеч,43.22903,24.396464
9567,с.,Бежаново,Генерал Тошево,Добрич,43.712567,28.390135
9637,с.,Безводица,Балчик,Добрич,43.521587,27.973215
6718,с.,Безводно,Черноочене,Кърджали,41.750634,25.100123
2236,с.,Безден,Костинброд,София,42.880644,23.110454
3454,с.,Безденица,Монтана,Монтана,43.548281,23.194647
