SiteType,SiteType_EN,SiteName,SiteName_EN,PostCode
гр.,gr.,ЧЕРНОМОРЕЦ,CHERNOMORETS,8142
гр.,gr.,ЧИПРОВЦИ,CHIPROVTSI,3460
гр.,gr.,ЧИРПАН,CHIRPAN,6200
гр.,gr.,ШАБЛА,SHABLA,9680
гр.,gr.,ШИВАЧЕВО,SHIVACHEVO,8895
гр.,gr.,ШИПКА,SHIPKA,6150
гр.,gr.,ШУМЕН,SHUMEN,9700
гр.,gr.,ЯБЛАНИЦА,YABLANITSA,5750
гр.,gr.,ЯКОРУДА,YAKORUDA,2790
гр.,gr.,ЯМБОЛ,YAMBOL,8600
в.с.,v.s.,ДЮНИ,DYUNI,8133
в.с.,v.s.,ЕЛЕНИТЕ,ELENITE,8256
в.с.,v.s.,МЕЖДУНАРОДЕН МЛАДЕЖКИ ЦЕНТЪР,MEZHDUNARODEN MLADEZHKI TSENTAR,8181
в.с.,v.s.,РУСАЛКА ЕЛИТ,RUSALKA ELIT,9695
к.,k.,БЕКЛЕМЕТО,BEKLEMETO,5673
к.,k.,БУРГАСКИ МИНЕРАЛНИ БАНИ,BURGASKI MINERALNI BANI,8124
к.,k.,БЯЛА ЧЕРКВА,BYALA CHERKVA,
к.,k.,КАМЧИЯ,KAMCHIA,9130
к.,k.,СВ. КОНСТАНТИН,SV. KONSTANTIN,4577
к.,k.,СЛИВЕНСКИ МИНЕРАЛНИ БАНИ,SLIVENSKI MINERALNI BANI,8840
к.,k.,ТУЗЛАТА,TUZLATA,9633
к.,k.,ЦИГОВ ЧАРК,TSIGOV CHARK,
к.,k.,ЧАИРА,CHAIRA,4476
к.,k.,ЯЗОВИР БАТАК,YAZOVIR BATAK,
к.к.,k.k.,АЛБЕНА,ALBENA,9620
к.к.,k.k.,БОРОВЕЦ,BOROVETS,2010
к.к.,k.k.,ЗЛАТНИ ПЯСЪЦИ,ZLATNI PYASATSI,9007
к.к.,k.k.,ПАМПОРОВО,PAMPOROVO,4870
к.к.,k.k.,СВ. СВ. КОНСТАНТИН И ЕЛЕНА,SV. SV. KONSTANTIN I ELENA,9006
к.к.,k.k.,СЛЪНЧЕВ БРЯГ,SLANCHEV BRYAG,8240
к.к.,k.k.,ЧАЙКА,CHAYKA,9007
к.м.,k.m.,КАРАНДИЛА,KARANDILA,8839
к.м.,k.m.,ЛЮЛЯЦИТЕ,LYULYATSITE,5307
к.м.,k.m.,ПОПИНА ЛЪКА,POPINA LAKA,
к.м.,k.m.,ПОПОВИ ЛИВАДИ,POPOVI LIVADI,
к.м.,k.m.,СТУДЕНЕЦ,STUDENETS,
к.м.,k.m.,ТРЕЩЕНИК,TRESHTENIK,
к.м.,k.m.,ТУРИЧКА ЧЕРКВА,TURICHKA CHERKVA,
