key,day,base,weekday,year,title,type,info,nameday
,6,7,,,"Преп. Сисой Велики. Св. свщмчк Валентин, презвитер Римски",nameday,,avakum
,7,7,,,Св. вмчца Неделя. Преп. Тома Малейски и Акакий,nameday,,"nedialko, nedyalko, nedialka, nedyalka, neda, delcho, deljo, delio, nedelcho, dedelia, nedelya, neshka, ianka, yanka, yanko, ianko"
,11,7,,,Св. мчца Евфемия Всехвална. Св. равноап. княгиня Олга. Преп. Никодим Албански ,nameday,,"oleg, olga, olia, olya"
,15,7,,,Св. мчци Кирик и Юлита. Св. равноап. велик княз Владимир,nameday,,"vlada, vladimira, vladimir, vitomir, gospodin, gospodinka"
,16,7,,,Св. свщмчк Атиноген и 10-те му ученици. Св. мчца Юлия девица. Св. мчк Йоан Търновски ,nameday,,"juli, julia, julya, julka, iulia, iuliana, iulian, julian, julianka, youli, youlianka, yulian, iuli, iulia, iuli, iulian, iuliana, djuli, djulia, djuliana, juli, julia, julian, juliana, juliane, julie"
,17,7,,,Св. вмчца Марина. Възхвала на Пресвета Богородица,nameday,," marin, marina, marincho, marinka"
,20,7,,,Св. пророк Илия (Илинден),nameday,,"ilia, iliya, ilian, ilyan, iliana, iliyana, ilko, ilka, lilo, ilianka"
,22,7,,,в. мироносица и равноапостолна Мария Магдалина. Възвръщане честните мощи на св. свщмчк Фока,nameday,,"magda, magdalena, magdalen, magdalina, magi, magie, magito, magity, magy, manda, meglena, miglena"
,25,7,,,Успение на Св. Анна,nameday,,"ana, ani, anitsa, anna"
,26,7,,,Св. свщмчк Ермолай и другарите му. Св. прпмчца Параскева,nameday,,"paraskev, paraskeva, parashkev, parashkeva"
,29,7,,,Св. мчк Калиник. Св. мчца Серафима девица,nameday,,"goran, kalin"
,26,8,,,Мчц-и Адриан и Наталия,nameday,,"adrian, adriana"
,30,8,,,"Св. Александър, Йоан и Павел-патриарси Цариградски",nameday,,"aleko,alexander,aleksandar,alexandra,aleksandra"
,14,9,,,Кръстовден,nameday,Въздвижение на Св. Кръст Господен ,"Кръстьо, Кръстина, Кръстил, Кръстила, Кръстилена, Кръстена, Кръстан, Кръстана"
,16,9,,,Св. Людмила Чешка,nameday,,"Людмил, Людмила"
,17,9,,,"Вяра, Надежда и Любов",nameday,,"Вяра, Надежда, Любов, София, Софица, Софка, Софиян, Софияна, Люба, Любомир, Любчо, Любомил, Любослав, Любена, Верина, Верослав, Верослава, Нада, Надя, Надка, Надко, Надина"
,1,10,,,Покров Богородичен,nameday,,"Анани, Анания"
,6,10,,,св. Тома,nameday,,"Тома, Томислав, Томислава"
,9,10,,,Св. Ап.Иаков Алфеев. Преп. Андроник и Атанасия,nameday,,avram
,14,10,,,Петковден,nameday,,"Петко, Петка, Петкан, Петра, Петрана, Петрина, Петрия, Петричка, Петкана, Пенко, Пенка, Параскев, Параскева, Парашкев, Парашкева, Паруш, Кева"
,30,11,,,Св. Ап. Андрей Първозвани (Андреевден),nameday,,"andrej, andrei, andrey"
,8,11,,,Събор на Св. Арх.Михаил; (Архангеловден),nameday,,"angel, angelina, radka, radko"
,6,12,,,"Св. Николай, архиеп. Мирликийски, Чудотворец (Никулден)",nameday,,"Никола, Николай, Николина, Ненка, Нина, Натали"
,27,12,,,Стефановден,nameday,,"stanimir, stanimira,Стефан, Стефана, Стефания, Стефи, Фани, Венцислав, Венцислава, Запрян, Стамен, Стамена, Станимир, Станимира, Стоил, Стоилка, Станка, Станчо, Стоян, Стоянка, Таня"
,2,2,,,Сретение Господне от праведния Симеон ,nameday,,"Ванеса, Момчил, Радост, Радостин, Радостина, Драго, Драгомир, Ралин, Радина, Радослав, Радислава, Средко, Средка, Сретен, Сретен (Петльовден по стар стил)"
,15,3,,,Св. мчк Агапий и 7 мчци,nameday,,"Божан, Божил, Божко, Емануил, Манол, Манчо, Тотьо"
,16,3,,,ЖельоВильов Ден,nameday,,"Велизар, Желяз"
,17,3,,,Св. преподобни Алексий,nameday,,Алекси
,19,3,,,Св. мчци Хрисант и Дария. Мчца Илария,nameday,,"Дария, Найден"
