692,Разходи за глоби и неустойки,,,,,
699,Други извънредни разходи,,,,,
7,СМЕТКИ ЗА ПРИХОДИ,,,,,
70,Приходи от Продажби,,,,,
701,Приходи от продажби на продукти,,,вътр. Документ за ПРОДАЖБИ&nbsp;(110),,
702,Приходи от продажби на стоки,,,вътр. Документ за ПРОДАЖБИ&nbsp;(110),,
703,Приходи от продажби на услуги,,,вътр. Документ за ПРОДАЖБИ&nbsp;(110),,
704,Приходи от наеми,,,вътр. Документ за ПРОДАЖБИ&nbsp;(110),,
705,Приходи от продажби на дълготрайни активи,,,,,
706,Приходи от продажба на суровини/материали,,,,,
707,Приходи от последваща оценка на активи,,,,,
708,Приходи от финансирания,,,,,
709,Други приходи от дейността,,,,,
72,Финансови приходи,,,,,
721,Приходи от лихви,,,,,
722,Приходи от съучастия,,,,,
723,Приходи от операции с финансови активи и инструменти,,,,,
724,Приходи от валутни операции,,,,,
725,Приходи от последващи оценки на финансови активи и инструменти,,,,,
729,Други финансови приходи,,,,,
75,Приходи за Бъдещи периоди и Финансирания,,,,,
751,Нефинансови приходи за бъдещи периоди,,,,,
752,Финансови приходи за бъдещи периоди,,,,,
753,Финансиране за дълготрайни активи,,,,,
754,Финансиране на текущата дейност,,,,,
9,ЗАДБАЛАНСОВИ СМЕТКИ ЗА УСЛОВНИ АКТИВИ И ПАСИВИ,,,,,
91,"Чужди Материални, Нематериални и Финансови Активи на Съхранение",,,,,
911,Наети чужди активи,,,,,
912,"Чужди материални активи, получени по консигнационен договор",,,,,
913,"Други материални и нематериални активи, приети на съхранение",,,,,
914,"Финансови активи или парични средства, приети на за съхранение",,,,,
98,Други Условни активи,,,,,
981,"Чужди материални и нематериални активи, получени като обезпечение",,,,,
982,"Чужди финансови активи, получени като обезпечение",,,,,
983,"Полици или записи на заповед, получени като обезпечение",,,,,
989,Кореспондираща сметка за условни активи,,,,,
99,Други Условни пасиви,,,,,
991,"Собствени материални и нематериални активи, предоставени като обезпечение",,,,,
992,"Собствени финансови активи, предоставени като обезпечение",,,,,
993,"Полици или записи на заповед, предоставени като обезпечение",,,,,
994,Други условни пасиви,,,,,
999,Кореспондираща сметка за условни пасиви,,,,,
