21396,"ЕК Велико Търново, ул. Полтава 3Ж",5000,"43.080574122793,25.606253646488",100
21406,"ЕК Велинград Рубин, ул. Св. Св. Кирил и Методий 5",4600,"42.028159194241,23.992547681885",100
21407,"ЕК Велинград Съединение, бул. Съединение 140",4600,"42.017591805285,23.988820256653",100
21952,"ЕК Велинград, ул. Пазарска 2",4600,"42.026939841432,23.996216943817",100
21408,"ЕК Ветово, ул. Велико Търново 5",7080,"43.704705228832,26.265090048599",100
21409,"ЕК Видин Авангард Калето, ул. Княз Борис I 10",3700,"43.9873598,22.878648",100
21410,"ЕК Видин Крум Бъчваров, ул. Райко Жинзифов 0",3700,"43.999026000586,22.871416500168",100
21411,"ЕК Видин площад Ташкюприя, ул. Екзарх Йосиф I 32",3700,"43.987176490582,22.870753259277",100
21412,"ЕК Видин Ровно, ул. Цар Александър II 71",3700,"43.97986,22.8731",100
21413,"ЕК Войводиново, ул. Христо Ботев 1",4135,"42.1939646337,24.783260918136",100
21415,"ЕК Враца 24/7 Еконтомат - ТЦ Суми, бул. Демокрация",3000,"43.20526,23.55605",100
21416,"ЕК Враца Автогара, ул. Васил Кънчов 76",3000,"43.207637605426,23.55856599472",100
21417,"ЕК Враца Дъбника,  ",3000,"43.221641510863,23.552719047623",100
21418,"ЕК Враца Левски, ул. Генерал Леонов 77",3000,"43.20051,23.55882",100
21419,"ЕК Враца Механото, ул. Илинден 10",3000,"43.21534510441,23.540576880951",100
21420,"ЕК Враца площад Руски, ул. Петропавловска 42",3000,"43.20573,23.54668",100
21414,"ЕК Враца, ул. Никола Вапцаров 18",3000,"43.21153,23.55835",100
21421,"ЕК Вълчедръм, ул. България 17",3650,"43.696996732893,23.445731094437",100
21422,"ЕК Вършец, ул. Хан Омуртаг 6",3540,"43.193487493985,23.2851699579",100
21424,"ЕК Габрово ЕСА, ул. Нарцис 1",5300,"42.884287302335,25.313356765537",100
21425,"ЕК Габрово Колелото, пл. Белорусия 3",5300,"42.88853547633,25.32068451786",100
21426,"ЕК Габрово Мадара, ул. Орловска 27",5300,"42.875850009369,25.319002873166",100
21427,"ЕК Габрово Театъра, ул. Св. Св. Кирил и Методий 10",5300,"42.86880452927,25.315678194968",100
21428,"ЕК Габрово Шиваров мост, ул. Йосиф Соколски 4",5300,"42.86158,25.32453",100
21423,"ЕК Габрово, ул. Доктор Заменхоф 3",5300,"42.880991263892,25.314548047781",100
21953,"ЕК Гара Елин Пелин, ул. Райна Княгиня 1",2109,"42.623435883322,23.582813824921",100
21430,"ЕК Генерал Тошево, ул. Трети Март 9",9500,"43.701649120009,28.038621768799",100
21954,"ЕК Герман, ул. Младежка 2А",1186,"42.610390110896,23.410254249573",100
21432,"ЕК Главиница, ул. Розова долина 1",7630,"43.912399952365,26.833629301147",100
21433,"ЕК Гложене, ул. Ленин 93",3327,"43.687167828098,23.804165413933",100
21435,"ЕК Горна Оряховица Гарата, ул. Цар Освободител 95",5100,"43.139364475559,25.683069792278",100
21436,"ЕК Горна Оряховица Пролет, ул. Д-р Петър Берон 4",5100,"43.128878882676,25.683364961061",100
21437,"ЕК Горна Оряховица Шейново, ул. Св. Княз Борис I 1",5100,"43.123721037821,25.69409280117",100
21434,"ЕК Горна Оряховица, ул. Вичо Грънчаров 9",5100,"43.124439944614,25.685475793705",100
21439,"ЕК Гоце Делчев Дунав, ул. Дунав 26",2900,"41.571503830689,23.740055022488",100
21440,"ЕК Гоце Делчев Неврокоп, ул. Генерал Ковачев 6",2900,"41.573894060608,23.727320125656",100
21441,"ЕК Гоце Делчев Панаирски ливади, Панаирски ливади ",2900,"41.580214421531,23.743922999458",100
21438,"ЕК Гоце Делчев, ул. Драма 35",2900,"41.570892174165,23.722738912659",100
21442,"ЕК Градина, ул. Иван Вазов 20",4290,"42.145364055905,25.20711823494",100
22002,"ЕК Гулянци, ул. Г.С. Раковски 15",5960,"43.643748228192,24.689904487305",100
21443,"ЕК Гълъбово, ул. Георги Бенковски 8",6280,"42.139257075377,25.870914748268",100
21444,"ЕК Две могили, ул. Шипка 1",7150,"43.593162362521,25.877828808899",100
21445,"ЕК Девин Васил Левски, ул. Васил Левски 29",4800,"41.742185397554,24.393803473225",100
21446,"ЕК Девня, бул. Съединение 0",9160,"43.224823439396,27.573071411209",100
21447,"ЕК Джебел, ул. Иван Вазов 22",6850,"41.4971877,25.3002915",100
21448,"ЕК Димитровград Автогара Пазара, бул. Димитър Благ",6400,"42.057248152945,25.5850425705",100
21449,"ЕК Димитровград Естило, ул. Петър Парапанов 12-14",6400,"42.059201341418,25.588621552115",100
22004,"ЕК Димитровград кв. Раковски, ул. Гоце Делчев 2",6400,"42.0585368,25.6021305",100
21450,"ЕК Димитровград Тенискортове, ул. Хр.Ботев 46",6400,"42.051652219485,25.577198230566",100
21451,"ЕК Димитровград Форум, бул. Димитър Благоев 16",6400,"42.054995899739,25.597326134779",100
21452,"ЕК Добринище, ул. Александър Стамболийски 1",2777,"41.820637275119,23.562342813568",100
21454,"ЕК Добрич Балик, ул. Христо Ботев 95",9300,"43.57488,27.84463",100
